spark_udaf_acc/1004_PythonAccumulatorV2_ESTest_scaffolding.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_acc/1005_PythonAccumulatorV2_ESTest_scaffolding.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_acc/1006_DAGSchedulerEventProcessLoop_ESTest_scaffolding.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_acc/1007_DAGSchedulerEventProcessLoop_ESTest_scaffolding.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_acc/1008_AccumulatorV2_ESTest.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_acc/1012_SparkNativeAccumulators.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_acc/1013_TaskMetricsSuite$.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_acc/1014_SparkBatchJobMetadataTracker.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_acc/1017_AggregatorsAccumulator.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_acc/1018_TermFrequencyAccumulator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_acc/1019_Java_Spark21_Accumulator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_acc/1020_HoodieRealtimeTableCompactor.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_acc/105_StringAccumulator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_acc/106_StringAccumulator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_acc/107_SetAccumulator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_acc/108_SetAccumulator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_acc/109_SetAccumulator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_acc/110_SetAccumulator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_acc/116_SpecificParquetRecordReaderBase.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_acc/119_MemoryAccumulator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_acc/11_KeyValueAccumulator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_acc/120_MemoryAccumulator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_acc/121_MemoryAccumulator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_acc/122_AggregatorsAccumulator.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_acc/123_AggregatorsAccumulator.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_acc/130_SpecificParquetRecordReaderBase.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
