spark_udaf_udaf/100_JavaUserDefinedUntypedAggregation.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/109_MyDoubleSum.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/110_MyDoubleSum.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/111_MyDoubleSum.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/112_MyDoubleSum.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/11_SampleVariantStatsTransformer.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/134_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/135_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/136_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/137_JavaDataFrameSuite.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/138_JavaUserDefinedUntypedAggregation.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/13_MyDoubleSum.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/141_ProcessStatesAggregationFunction.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/142_MyAverage.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/143_GroupConcatDistinctUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/144_LongestWord.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/145_EnvelopeUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_udaf/146_MyCount.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_udaf/148_MedianString.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
