spark_udaf_acc/1000_TaskMetricsSuite.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/1001_TaskMetricsSuite.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/1002_TaskMetricsSuite.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/1003_TaskMetricsSuite.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/1009_ExternalClusterManagerSuite.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/100_MapAccumulator.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/1010_ExternalClusterManagerSuite.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/1011_ExternalClusterManagerSuite.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/1015_AggregatingAccumulator.scala | GOOD | LOC=13 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/1016_AggregatingAccumulator.scala | GOOD | LOC=13 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/101_TaskScheduler.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/102_TaskScheduler.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/103_TaskScheduler.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/104_TaskScheduler.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/10_VectorSum.scala | GOOD | LOC=8 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/111_ArrayAccumulator.scala | GOOD | LOC=6 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/112_ArrayAccumulator.scala | GOOD | LOC=6 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/113_SparkSolrAccumulator.scala | BAD | LOC=2 | CONTROLFLOW=False | LANG=SCALA
spark_udaf_acc/114_EventTimeWatermarkExec.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/115_EventTimeWatermarkExec.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/117_SharedVariables.scala | BAD | LOC=0 | CONTROLFLOW=False | LANG=SCALA
spark_udaf_acc/118_SparkInternalsBridge.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/124_DistriOptimizer.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/125_EventTimeWatermarkExec.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/126_EventTimeWatermarkExec.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/127_EventTimeWatermarkExec.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/128_EventTimeWatermarkExec.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/129_MultiTimerAccumulator.scala | GOOD | LOC=8 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/12_DistriOptimizer.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/134_AllDataAccumulator.scala | BAD | LOC=2 | CONTROLFLOW=False | LANG=SCALA
spark_udaf_acc/139_Low_Level_APIs-Chapter_14_Distributed_Variables.scala | GOOD | LOC=4 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/140_Low_Level_APIs-Chapter_14_Distributed_Variables.scala | GOOD | LOC=4 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/141_Low_Level_APIs-Chapter_14_Distributed_Variables.scala | GOOD | LOC=4 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/142_Low_Level_APIs-Chapter_14_Distributed_Variables.scala | GOOD | LOC=4 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/14_EventTimeWatermarkExec.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/153_MapAccumulator.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/154_MapAccumulator.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/155_SetAccumulator.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/159_IterativeViewshed.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/160_TaskScheduler.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/161_CoverageRDDAccumulator.scala | GOOD | LOC=3 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/162_StateAccumulator.scala | GOOD | LOC=6 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/166_ExceptionCountAccumulator.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/169_Spark04_Acc_WordCount.scala | GOOD | LOC=3 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/170_TaskScheduler.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/171_Spark01_Req_HotCategoryTop10.scala | GOOD | LOC=12 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/173_SessionAggrStatAccumulator.scala | GOOD | LOC=6 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/175_package.scala | BAD | LOC=0 | CONTROLFLOW=False | LANG=SCALA
spark_udaf_acc/176_CountingAccumulator.scala | GOOD | LOC=4 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/178_Accumulators.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/179_ArrayAccumulator.scala | GOOD | LOC=6 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/17_CountingAccumulator.scala | GOOD | LOC=4 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/180_CategoryAcc.scala | GOOD | LOC=14 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/181_CounterAccumulator.scala | GOOD | LOC=4 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/182_MapAccumulator.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/183_MapAcc.scala | GOOD | LOC=5 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/184_MyAccumulator.scala | BAD | LOC=0 | CONTROLFLOW=False | LANG=SCALA
spark_udaf_acc/185_HotCategoryTopN4.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/187_DrinkAnalyzeBroadAccum.scala | GOOD | LOC=7 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/188_LowLevelAPI.scala | GOOD | LOC=4 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/18_Accumulators.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_acc/191_ShimTaskMetrics.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_acc/193_PartitionStageAccumulator.scala | BAD | LOC=2 | CONTROLFLOW=False | LANG=SCALA
