spark_udaf_agg/100_TimeUsage.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_agg/101_typedaggregators.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/102_typedaggregators.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/107_DatasetAggregatorSuite.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/108_DatasetAggregatorSuite.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/109_DatasetAggregatorSuite.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/110_DatasetAggregatorSuite.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/111_StringIndexer.scala | GOOD | LOC=9 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/112_typedaggregators.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/113_typedaggregators.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/114_typedaggregators.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/115_typedaggregators.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/116_Spark04_SparkSql_UDAF2.scala | BAD | LOC=4 | CONTROLFLOW=False | LANG=SCALA
spark_udaf_agg/117_SparkUDAF.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/118_stratifiedsamplingutils.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_agg/119_Spark03_SparkSQL_UDAF1.scala | BAD | LOC=4 | CONTROLFLOW=False | LANG=SCALA
spark_udaf_agg/11_DatasetAggregatorSuite.scala | GOOD | LOC=0 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/120_Spark04_SparkSQL_JDBC.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_agg/123_MimaExcludes.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_agg/124_MimaExcludes.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_agg/125_MimaExcludes.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_agg/126_TopByKeyAggregator.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/127_TopByKeyAggregator.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/128_TopByKeyAggregator.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/129_TopByKeyAggregator.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/130_stratifiedsamplingutils.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_agg/131_SequenceAggregators.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_agg/132_CressieReadInterval.scala | GOOD | LOC=25 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/133_DatasetPerformance.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_agg/134_RecordAggregator.scala | GOOD | LOC=13 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_agg/135_MimaExcludes.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_agg/136_RnnUDAF.scala | GOOD | LOC=56 | CONTROLFLOW=True | LANG=SCALA
