spark_udaf_udaf/101_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/102_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/103_Chapter_07_Structured_APIs_Aggregations.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/104_Structured_APIs-Chapter_7_Aggregations.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/105_Structured_APIs-Chapter_7_Aggregations.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/106_Structured_APIs-Chapter_7_Aggregations.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/107_NonSourceUDAF.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/108_RuntimeCompileUDAF.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/10_DataFrameAPI.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/113_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/114_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/115_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/116_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/117_Catalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/118_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/119_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/120_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/121_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/122_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/123_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/124_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/125_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/126_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/127_MimaExcludes.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/128_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/129_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/12_GeometricMean.scala | GOOD | LOC=3 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/130_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/131_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/132_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/133_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/139_cumprod.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/140_UdfUtils.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/147_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/149_AtkinsonAggregator.scala | GOOD | LOC=8 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/151_MyStructuredStreamingExample1.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/153_UDFRegistration.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/154_HighLowAggregator.scala | GOOD | LOC=22 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/155_Sum.scala | GOOD | LOC=7 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/157_WeightedCentroid.scala | GOOD | LOC=6 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/158_UserDefinedUntypedAggregation.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/15_NonSourceUDAF.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/161_Catalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/162_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/164_aggjoinTest.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/165_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/166_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/167_BaseSessionStateBuilder.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/168_performance.dashboard.scala | GOOD | LOC=3 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/169_AggTestUDAF.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/16_AttachHHColumn.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/170_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/171_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/172_SessionCatalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/173_BaseAggregator.scala | GOOD | LOC=22 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/176_WeightedCentroid.scala | GOOD | LOC=6 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/177_UdfUtils.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/178_Catalog.scala | BAD | LOC=None | CONTROLFLOW=None | LANG=SCALA
spark_udaf_udaf/180_udafs.scala | GOOD | LOC=4 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/181_WeightedCentroid.scala | GOOD | LOC=6 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/189_cumprod.scala | GOOD | LOC=2 | CONTROLFLOW=True | LANG=SCALA
spark_udaf_udaf/18_TPCHUDAF.scala | GOOD | LOC=10 | CONTROLFLOW=True | LANG=SCALA
